Country,Age,Occupation,Education_Level,Income_USD,Daily_Screen_Time_Hours,Phone_Unlocks_Per_Day,Social_Media_Usage_Hours,Gaming_Usage_Hours,Streaming_Usage_Hours,Messaging_Usage_Hours,Work_Related_Usage_Hours,Sleep_Hours,Physical_Activity_Hours,Mental_Health_Score,Depression_Score,Anxiety_Score,Stress_Level,Time_Spent_With_Family_Hours,Internet_Connection_Type,Primary_Device_Brand,Has_Screen_Time_Management_App,Self_Reported_Addiction_Level,Monthly_Data_Usage_GB,Has_Night_Mode_On,Age_First_Phone,Push_Notifications_Per_Day,Tech_Savviness_Score
Mexico,44,Teacher,Master's,16108.12,2.79,70,1.94,0.67,-0.1,0.95,1.48,6.09,1.1,37.22,74.42,39.92,73.47,2.38,3G,Apple,No,Severe,37.64,Yes,20,69,24.82
Mexico,29,Unemployed,Master's,11352.4,6.1,98,2.38,2.27,1.41,0.87,3.89,6.29,0.88,53.78,18.03,45.67,5.32,2.69,WiFi,Apple,Yes,High,9.17,No,12,178,72.02
China,41,Student,Bachelor's,40328.37,6.6,75,2.2,2.62,1,0.9,1.75,6.43,1.54,70.56,56.62,13.96,82.06,0.67,3G,Apple,Yes,High,26.25,No,17,149,89.04
Russia,24,Teacher,Master's,27488.26,6.3,28,-0.03,1.11,2.97,1.88,2.15,8.16,1.98,44.28,80.07,67.79,46.92,1.7,4G,Samsung,No,Severe,20.9,No,15,76,27.49
Japan,42,Unemployed,PhD,28712.39,8.08,76,0.5,1.87,2.14,1.87,1.59,6.81,0.84,86.52,59.4,92.39,81.88,2.46,3G,Apple,No,High,28.18,No,11,46,42.55
China,32,Unemployed,Master's,53300.18,9.99,51,1.51,0.74,2.29,1.3,1.69,5.44,1.12,60.9,98.54,8.52,72.27,1.85,3G,Huawei,No,Moderate,17.19,Yes,14,121,29.32
Brazil,34,Engineer,Master's,23795.73,4.04,107,2.47,-0.14,1.42,1.6,1,6.32,0.69,94.19,64.3,90.75,12.51,2.73,3G,Xiaomi,Yes,High,28.33,Yes,10,105,95.87
Japan,19,Artist,Bachelor's,50275.81,2.99,80,-0.16,3.32,0.54,1.73,-0.24,5.7,1.31,43.91,76.64,87.17,75.04,1.75,4G,Huawei,No,High,14.18,Yes,8,56,20.23
USA,60,Engineer,High School,33861.48,4.55,65,1.97,0.81,2.06,0.72,1.89,5.45,1.71,41.57,69.53,45.13,62.39,0.58,3G,OnePlus,Yes,High,33.56,Yes,17,91,4.89
India,43,Engineer,Master's,41955.81,9.83,68,1.64,1.3,3.38,2,1.99,6.11,0.52,48.02,23.78,76.96,46.05,3.09,3G,Xiaomi,Yes,High,24.36,No,19,116,0.01
Russia,21,Teacher,Master's,41358.1,4.75,110,2.95,1.59,1.78,0.71,2.41,5.63,1.62,79.09,57.05,77.72,11.24,2.25,3G,Huawei,No,Moderate,25.34,No,9,150,84.65
India,64,Teacher,Bachelor's,19580.44,9.02,79,3.35,1.89,2.34,1.13,1.12,7.85,0.43,3.56,9.74,32.88,37.16,1.3,4G,Other,No,High,21.66,Yes,13,128,4.72
Mexico,64,Manager,None,27991.8,5.71,67,3.34,2.69,2.5,1.94,1.62,4.55,1.33,2.78,46.63,42.73,35.14,1.34,WiFi,Samsung,No,Severe,50.24,No,9,68,98.28
USA,27,Manager,Master's,31307.43,2.62,56,-0.3,0.41,1.82,2.74,2.39,5.78,1.42,77.01,51.38,83.09,41.57,2.21,4G,OnePlus,Yes,Moderate,27.63,No,11,93,70.35
Nigeria,27,Unemployed,High School,23850.44,3.45,88,0.44,1.56,1.94,1.82,2.61,7.71,0.33,62.67,53.57,58.98,57.99,1.16,4G,OnePlus,No,Moderate,26.51,Yes,15,116,7.66
Germany,67,Engineer,Master's,28109.78,6.1,84,2.64,1.79,2.73,2.35,0.48,5.04,0.63,21.33,55.82,38.48,11.16,1.09,5G,Apple,Yes,High,27.73,Yes,9,92,43.81
Brazil,22,Doctor,None,18672.84,8.22,108,1.53,1.14,2.26,1.67,1.11,5.39,0.43,46.37,14.28,35.81,25.36,0.9,5G,Xiaomi,Yes,Low,19.46,No,17,101,24.59
Russia,34,Salesperson,Bachelor's,41093.56,8.9,89,2.32,2.15,2.08,2.66,1.48,6.55,0.69,46.28,7.48,72.83,43.13,1.41,4G,Apple,No,High,18.47,No,12,72,57.43
UK,59,Manager,PhD,20499.24,5.9,48,2.95,2.59,1.74,1.01,1.03,5.63,0.63,12.12,57.84,41.94,4.58,1.34,3G,Huawei,No,High,16.59,Yes,17,52,39.78
Germany,67,Artist,High School,62116.21,8.23,46,3.03,0.89,3.09,1.24,1.71,4.78,1.32,46.72,81.66,87.86,89.83,0.93,5G,OnePlus,No,Moderate,26.21,No,9,166,73.34
UK,17,Engineer,High School,16500.03,3.11,67,1.4,-1.67,3.67,1.32,4.38,4.88,0.41,62.31,59.89,31.32,3.91,2.12,WiFi,Apple,Yes,Severe,25.45,Yes,20,108,33.73
UK,61,Unemployed,Master's,45589.83,5.42,40,1.76,-0.37,1.37,1.6,2.05,7.99,0.37,71.85,7.77,60.38,12.15,1.63,5G,OnePlus,No,Moderate,16.54,Yes,11,132,29.09
Germany,42,Engineer,PhD,14040.7,5.26,90,0.44,1.41,1.89,1.22,1.86,4.81,1.44,85.04,27.81,91.33,83.71,1.87,5G,Apple,No,High,48.06,No,19,44,69.86
India,58,Artist,None,19905.53,7,123,1.45,1.7,1.85,1.35,2.81,6.09,0.58,73.31,37.38,19.12,34.27,1.3,3G,Other,No,Low,14.56,Yes,20,107,44.16
Mexico,63,Teacher,Bachelor's,20855.53,4.67,78,1.58,1.4,1.01,1.57,3.81,5.69,0.84,63.07,65.23,70.32,17.6,2.14,WiFi,Other,Yes,High,51.28,No,15,130,83.06
Germany,21,Salesperson,None,44876.38,8.41,65,1.27,-0.48,3.31,1.67,3.04,6.14,0.83,15.33,46.7,84.74,4.91,0.9,WiFi,Huawei,No,Moderate,35.28,No,16,138,68.58
USA,68,Salesperson,High School,36096.35,6.32,75,2,2.48,0.99,0.9,0.82,6.98,1.39,82.32,93.08,42.51,93.75,0.82,WiFi,Other,Yes,High,8.04,Yes,12,133,70.75
Germany,51,Student,High School,21233.04,6.74,59,1.45,2.31,1.15,1.85,3.11,5.8,0.8,8.79,14.17,34.71,54.28,0.98,3G,Xiaomi,No,Moderate,19.91,No,18,39,62.28
Nigeria,27,Doctor,PhD,29236.73,8.26,106,2.57,1.35,2.55,1.12,0.56,7.03,1.95,75.29,42.64,19.45,27.65,1.72,WiFi,Huawei,No,Low,25.08,Yes,16,66,88.64
UK,26,Doctor,Master's,25909.89,6.67,54,0.56,1.65,3.22,1.31,-0.22,7,1.02,24.43,68.74,37.43,51.23,1.63,WiFi,Other,No,Moderate,15.88,No,18,162,38.38
Russia,62,Manager,Bachelor's,17082.97,7.97,105,1.71,-0.14,2.03,1.93,2.77,8.22,0.74,23.89,94.05,39.75,55.22,0.24,WiFi,OnePlus,Yes,Severe,7.93,Yes,16,52,65.22
India,63,Teacher,Master's,12843.68,5.18,75,1.9,1.58,1.99,1.04,1.23,7.04,1.84,76.11,35.13,93.33,77.99,1.07,WiFi,Xiaomi,No,Severe,10.28,No,18,67,5.2
India,48,Manager,PhD,23104.13,6.08,53,2.79,1.09,1.73,1.54,2.99,7.15,1.05,58.21,64.89,53.76,79.02,1.68,3G,Apple,Yes,Severe,10.82,No,11,162,14.54
Brazil,65,Manager,PhD,11836.92,8.1,123,1.58,1.53,2.34,1.26,0.61,6.02,0.49,27.41,37.53,76.65,4.77,0.47,4G,Huawei,No,Severe,40.33,No,16,63,56.39
USA,25,Engineer,Bachelor's,27005.21,7.89,114,3.11,1.68,1.23,0.44,1.52,7.34,1.66,65.83,79.78,78.4,31.08,1.69,WiFi,Xiaomi,Yes,Low,26.06,Yes,17,98,13.18
UK,15,Artist,None,21108.25,5.24,60,-0.03,1.38,1.99,1.08,3.29,7.61,1.09,75.21,13.11,44.42,36.84,1.73,4G,Apple,Yes,Severe,18.02,Yes,16,111,84.03
Japan,53,Salesperson,High School,6492.22,4.21,90,3.39,0.65,1.9,0.82,3.22,6.46,0.87,92.96,52.91,43.35,57.92,0.49,3G,Xiaomi,Yes,Low,26.99,Yes,20,73,88.16
Mexico,53,Engineer,High School,15269.11,6.93,56,1.72,1.35,2.97,1.59,1.11,5.49,1.13,55.51,39.89,7.78,46.7,2.39,WiFi,Huawei,Yes,High,23.78,No,13,91,18.4
Mexico,13,Student,PhD,41582.54,8.97,89,2.49,2.83,2.05,1.35,3.52,6.09,1.32,17.89,39.48,88.45,86.96,1.25,WiFi,Samsung,Yes,Severe,22.82,No,18,97,90.4
Brazil,26,Student,Bachelor's,-13054.02,5.48,80,3.23,1.51,1.53,1.04,1.57,6.39,1.83,81.59,51.28,37.22,8.37,1.08,5G,Apple,Yes,Severe,25.91,Yes,19,110,0.41
Nigeria,66,Engineer,Master's,29493.1,7.12,77,2.11,1.73,0.54,0.63,2.49,5.87,1.04,90.34,8.62,48.25,83.59,1.89,4G,Apple,Yes,Moderate,27.37,No,9,107,90.6
UK,68,Artist,Bachelor's,45049.37,6.32,108,2.24,2.59,1.57,1.56,2.01,7.04,1.43,66.95,61.22,87.47,23.05,1.23,WiFi,Other,Yes,High,44.86,Yes,18,102,68.13
Nigeria,13,Manager,PhD,52632.54,5.78,126,3.07,3.03,1.99,0.78,3.8,7.08,0.25,15.27,27.38,99,44.4,1.19,3G,Huawei,Yes,Low,36.53,No,12,110,32.49
UK,49,Teacher,None,46195.34,8.36,76,2.94,1.98,1.29,2.65,3.32,6.07,0.77,38.12,12.65,3.01,20.98,1.56,3G,Apple,No,Severe,29.35,Yes,17,122,13.1
China,48,Student,None,52735.73,2.51,57,2.66,1.71,2.13,1.62,1.29,4.77,1.29,66.85,57.66,19.31,36.74,1.23,WiFi,Xiaomi,No,Severe,17.7,No,16,62,46.85
Brazil,27,Salesperson,PhD,32200.47,3,98,2.37,2.06,2.47,1.54,1.41,6.36,1.12,82.1,95.3,19.85,74.79,2.31,WiFi,Xiaomi,Yes,Severe,19.25,Yes,16,72,44.59
USA,25,Salesperson,High School,40510.6,10.7,119,2.02,2.14,1.88,2.04,2.63,5.83,1.12,75.46,12.18,99.81,53.4,1.95,4G,Huawei,No,Severe,16.93,Yes,8,40,90.3
India,55,Salesperson,PhD,19720.29,8.3,106,1.97,1.2,1.59,2.33,1.32,7.74,0.99,45.06,10.87,68.99,34.55,0.19,3G,OnePlus,No,High,23.46,No,19,71,22.69
UK,27,Engineer,PhD,22779.68,4.63,73,1.68,3.19,2.61,1.11,1.98,7.19,0.84,64.87,97.32,1.86,0.15,0.18,4G,Apple,No,High,6.92,No,16,112,14.27
UK,65,Engineer,None,13608.52,5.32,129,2.59,-0.34,1.45,2.15,2.49,5.23,0.46,0.73,42.39,14.54,36.39,1.05,5G,Apple,No,Low,22.42,Yes,9,107,36.12
Nigeria,33,Engineer,Master's,45692.2,6.05,60,1.53,1.89,0.97,1.21,3.6,6.99,1.11,71.05,88.23,40.12,95.36,1.02,4G,Huawei,Yes,Moderate,20.22,Yes,13,97,0.38
UK,34,Artist,None,15486.08,7.91,101,1.57,2.14,3.36,1.07,1.56,7.65,0.94,75.41,25.54,85.55,29.2,0.9,4G,Samsung,Yes,Severe,23.4,Yes,11,70,56.17
India,66,Doctor,Master's,27808.53,4.56,72,1.63,1.94,2.44,1.02,2.22,6.74,0.53,39.05,62.6,18.08,84.97,2.1,4G,Samsung,Yes,High,18.71,Yes,11,59,76.28
Japan,28,Student,PhD,43857.34,2.63,93,1.01,2.15,3.54,0.81,1.21,6.34,1.61,64.09,61.57,33.93,28.45,0.97,3G,Xiaomi,Yes,Moderate,16.62,Yes,14,92,95.76
UK,25,Unemployed,Bachelor's,46955.64,4.77,73,0.5,0.86,2.49,1.64,0.82,6.9,1.66,48.36,16.84,50.04,0.62,1,3G,Apple,Yes,High,34.96,No,9,113,47.4
Germany,45,Teacher,Bachelor's,14346.89,5.36,73,2.1,2.02,2.01,1.66,1.2,5.7,1,88.52,38.18,70.95,33.61,1.13,5G,Huawei,No,High,44.42,Yes,15,107,14.04
Nigeria,49,Teacher,PhD,53049.08,9.33,66,1.46,0.95,0.59,2.5,2.59,7.01,0.77,2.73,83.53,83.39,76.64,2.42,4G,Xiaomi,Yes,Low,29.48,No,18,64,38.08
Mexico,61,Salesperson,Master's,38918.93,4.68,85,2.01,0.78,2.92,1.41,2.06,6.91,1.42,94.08,28.29,13.42,29.54,2.42,5G,Other,Yes,Severe,27.29,Yes,8,108,46.4
Nigeria,35,Artist,Bachelor's,28106.1,5.06,27,0.94,2.2,3.33,1.7,2.7,4.99,2.39,99.94,38.46,49.82,77.63,2.07,4G,Apple,No,Low,17.91,No,8,109,95.63
Japan,16,Manager,Bachelor's,52121.01,6.76,70,2.24,-0.37,1.65,0.87,0.93,5.6,0.94,17.23,46.82,14.33,41.64,3.8,3G,Apple,No,High,4.34,Yes,20,112,79.96
China,43,Doctor,None,39098.88,8.92,75,0.35,1.25,-0.23,1.63,2.25,5.32,0.89,32.37,59.5,94.8,2.69,0.55,5G,Other,No,Low,24.9,No,14,112,55.21
Russia,50,Teacher,Bachelor's,37384.13,3.48,59,2.73,1.37,2.06,1.33,3.57,6.01,2.13,73.08,40.11,70.01,49.49,1.94,4G,Huawei,No,Low,13.17,No,20,76,8.39
Brazil,65,Student,High School,7072.01,2.65,61,0.99,-1.93,1.92,1.89,3.2,6.35,1.52,87.85,90.9,33.89,40.61,1.13,WiFi,OnePlus,No,Moderate,28.11,Yes,18,85,63.45
Mexico,29,Salesperson,PhD,29295.34,5.89,123,2.37,2.2,2.29,1.46,0.8,7.39,1.36,54.16,92.24,65.79,89.18,1.6,4G,Apple,Yes,Low,27.76,No,14,103,7.03
UK,30,Doctor,Bachelor's,39260.66,7.41,75,1.35,2.02,3.27,2.34,0.47,6.01,0.76,1.65,66.89,49.05,84.92,0.37,WiFi,Other,No,Moderate,17.46,No,20,116,68.35
UK,55,Teacher,PhD,6811.85,4.96,88,2.35,0.97,1.66,1.56,1.96,7.42,0.37,15.69,44.88,24.38,37.4,2.53,WiFi,Other,No,High,17.87,No,19,29,16.59
Japan,49,Artist,High School,14146.49,6.83,77,1.35,3.41,0.16,1.39,1.56,5.66,2.04,87.84,71.04,4.04,58.73,1.13,3G,Xiaomi,No,Severe,30.75,No,14,63,46.77
Mexico,41,Doctor,None,22839.14,8.19,32,2.01,2.16,2.41,1.38,2.58,7.54,1.14,72.03,94.33,38.97,68.32,1.57,4G,Samsung,No,Moderate,36.1,Yes,9,75,63.27
Japan,64,Doctor,Bachelor's,59038.72,6.69,88,2.46,-0.24,1.43,1.49,1.92,8.24,0.75,28.33,61.77,7.47,33.73,1.67,WiFi,OnePlus,No,Severe,37.61,No,10,87,32.51
Japan,40,Artist,Master's,17294.46,5.36,79,3.55,1.99,0.35,1.57,1.88,4.89,0.86,9.22,90.11,50.39,55.86,1.86,4G,Huawei,Yes,Moderate,26.43,Yes,16,113,72.39
Nigeria,52,Salesperson,High School,46794.23,5.61,65,0.96,0.03,2.94,2.06,0.33,7.51,1.28,34.18,49.59,75.95,70.84,2.62,4G,Xiaomi,Yes,High,31.24,No,17,101,32.32
Nigeria,43,Manager,Master's,48436.16,5.59,106,2.51,1.94,0.93,0.36,0.65,7.13,1.35,52.17,39.6,6.03,82.44,0.65,4G,Other,No,Severe,39.7,Yes,11,83,40.74
China,35,Teacher,Master's,19768.26,9.19,74,1.55,0.75,1.73,1.47,2.05,6.46,1.35,53.75,51.75,95.37,63.89,0.88,WiFi,Xiaomi,No,Moderate,26.49,No,10,88,85
India,33,Salesperson,Bachelor's,52861.39,4.85,41,0.92,0.41,1.48,1.28,1.46,5.6,1,22.63,83.61,61.01,25.13,2.54,5G,Samsung,No,Low,21.97,Yes,15,77,70.23
Japan,14,Unemployed,PhD,43435.34,6.72,13,2.58,1.36,3.85,1.78,3.5,5.22,1.06,50.05,32.9,55.42,85.42,1.6,5G,Samsung,Yes,High,21.72,No,14,43,80.45
UK,66,Doctor,Bachelor's,20699.27,4.8,79,0.84,0.78,0.99,1.31,2.44,5.96,0.85,25.42,75.76,47.04,1.46,1.08,5G,Samsung,No,Moderate,22.1,Yes,14,121,24.88
Germany,61,Teacher,High School,26292.83,6.82,28,1.67,1.57,2.51,2.07,2.53,6.09,0.73,15.36,12.37,82.11,10.28,1.52,WiFi,Huawei,No,Low,4,Yes,9,80,48.75
Brazil,44,Student,Master's,32222.99,6.96,103,2.14,1.14,1.5,1.65,2.54,8.3,0.59,8.03,58.6,54.09,26.57,2.71,WiFi,Apple,No,Severe,13.07,Yes,9,49,65.58
Nigeria,56,Student,Master's,21144.78,8.47,95,1.34,2.93,3.23,1.7,2.03,6.92,0.62,61.19,47.79,66.56,30.05,1,5G,Other,No,Severe,35.45,Yes,19,177,35.5
Brazil,45,Engineer,None,35738.84,2.95,28,2.2,1.62,2.41,2.31,0.19,7.2,1.15,82.85,50.67,42.12,12.62,1.7,WiFi,Huawei,Yes,Moderate,15.27,No,13,74,83.4
India,46,Engineer,PhD,44396.96,8.68,112,3.05,1.68,1.38,1.97,1.16,6.7,1.25,12.49,21.68,15.37,27.57,1.48,5G,Xiaomi,Yes,Low,23.16,Yes,17,130,26.69
Germany,62,Doctor,High School,34310.89,1.48,93,1.3,1.23,2.23,1.01,1.79,5.83,1.39,97.61,33.34,60.2,65.04,0.94,4G,Huawei,No,Moderate,15.96,Yes,12,101,93.8
Russia,32,Teacher,PhD,25216.21,6.76,53,2.96,1.89,2.97,1,1.65,5.81,1.13,27.55,43.87,72.84,7.49,0.68,3G,Huawei,Yes,High,20.35,No,9,112,70.46
UK,49,Manager,PhD,55322.53,5.64,46,0.93,2.15,2.29,1.25,1.2,7.61,1.23,33.11,32.94,37.56,22.01,1.62,3G,Xiaomi,No,Moderate,26.23,Yes,16,79,51.59
UK,49,Teacher,Bachelor's,10452.93,3.11,90,0.8,1.74,-0.28,2.15,0.6,5.19,0,93.34,13.51,77.44,44.66,1.81,5G,OnePlus,No,High,29.48,No,14,111,52.8
UK,26,Manager,Master's,32304.61,7.29,74,1.11,1.4,1.1,2.22,1.51,6.74,1.4,30.18,33.84,88.88,88.44,2.9,5G,OnePlus,No,Severe,1.19,No,19,86,76.95
USA,48,Doctor,High School,41758.62,5.57,45,3.29,2.02,2.61,1.19,1.67,7.6,1.17,92.49,11.15,18.93,20.59,1.41,5G,Xiaomi,No,Severe,22.87,Yes,13,77,64.85
Brazil,24,Teacher,High School,35067.4,5.12,78,1.9,0.65,0.98,1.22,1.4,4.24,0.59,78.93,16.32,77.83,45.11,2.02,5G,Xiaomi,No,High,36.16,No,17,134,60.55
USA,46,Artist,Master's,23802.89,5.62,86,-0.23,0.46,1.23,1.26,1.56,4.48,1.94,3.24,9.43,55.42,78.46,2.47,3G,Apple,Yes,Low,17.99,No,19,93,46.85
India,22,Teacher,Bachelor's,33357.34,4.51,84,0.68,1.64,1.01,1.01,1.16,6.16,0.41,62.28,90.44,63.99,22.67,-0.19,3G,Xiaomi,No,High,26.84,Yes,20,104,25.46
USA,39,Teacher,High School,38117.61,6.15,104,1.29,0.77,0.57,0.78,3.4,6.1,0.84,90.71,1.57,90.44,69.66,0.71,5G,Huawei,Yes,Low,36.75,No,14,99,86.46
Russia,41,Student,Bachelor's,8787.62,4.07,75,3.46,2.63,1.64,1.71,2.1,6.33,0.43,30.25,8.48,70.72,40.1,1.24,WiFi,OnePlus,No,Low,31.26,No,18,71,48.26
Japan,22,Engineer,Master's,23170.21,4.49,78,2.24,1.87,0.88,1.54,2.07,5.46,0.73,73.2,25.98,34.2,8.75,0.41,4G,Xiaomi,No,Moderate,34.31,Yes,9,134,74.59
Russia,52,Unemployed,Bachelor's,68525.73,3.89,75,2.35,2.22,1.41,1.74,2.06,7.2,1.55,81.09,75.26,65.16,54.08,1.55,WiFi,OnePlus,Yes,Low,13.12,No,19,97,93.88
Mexico,16,Doctor,Bachelor's,36583.28,4.48,135,1.94,1.61,1.36,1.65,4.46,6.95,0.97,49.25,11.43,39.2,76.36,0.73,4G,Other,No,High,38.93,No,11,144,79.08
UK,27,Unemployed,None,40601.36,6.27,36,2.75,2.35,2.98,1.77,0.83,7,2.25,93.41,96.38,11.61,89.13,1.45,WiFi,Apple,No,High,34.61,Yes,12,174,12.45
Germany,58,Salesperson,PhD,18626.97,5.02,112,1.17,2.46,1.16,0.4,2.06,7.91,0.51,36,63.96,33.03,14.77,0.77,5G,Apple,No,Severe,10.62,Yes,13,99,2.84
Japan,66,Teacher,Bachelor's,49173.9,6.55,64,1.42,1.37,3.51,1.6,1.79,6.24,1.07,9.74,17.46,58.9,49.73,2.41,3G,OnePlus,Yes,Low,26.24,No,17,122,52.69
UK,62,Doctor,High School,10644.4,5.74,74,1.67,1.99,2.9,1.79,1.81,7.86,0.13,29.76,44.58,47.78,68.41,0.74,5G,Huawei,No,Severe,14.8,No,13,185,11.45
UK,26,Teacher,PhD,49091.85,6.3,53,1.96,1.89,4.86,1.52,2.34,6.13,0.87,97.57,1.41,27.2,33.97,1.13,3G,Xiaomi,Yes,Severe,37.23,No,19,119,31.41
Brazil,32,Engineer,Bachelor's,34189.61,4.41,71,1.84,3.11,2.43,0.73,0.97,4.85,1.86,88.09,93.9,49.26,26.48,1.28,4G,OnePlus,Yes,Moderate,37.3,Yes,10,69,33.97
USA,25,Manager,High School,32779.22,1.13,90,1.57,0.96,-0.22,2.32,1.49,7.26,1.16,96.73,81.32,67.65,68.74,1.1,WiFi,Huawei,Yes,Low,16.34,No,9,55,4.22
Germany,62,Student,PhD,41198.97,6.99,96,0.24,1.7,1.67,1.61,0.85,8.33,1.12,10.9,54.49,77.17,58.24,2.29,WiFi,OnePlus,Yes,Low,27.49,Yes,13,108,68.07
USA,63,Manager,PhD,10822.96,5.06,93,3.65,1.36,1.45,1.96,2.15,6.94,-0.39,12.4,37.18,65.16,13.82,1.48,4G,Huawei,No,Severe,17.65,No,16,96,27.53
China,59,Engineer,Master's,32768.32,6.95,77,2.95,1.65,0.73,1.66,1.51,6.89,0.42,29.58,23.85,60.85,7.51,-0.05,WiFi,Xiaomi,Yes,Moderate,22.21,No,16,193,80.94
Japan,25,Doctor,Bachelor's,41994.14,6.46,88,1.76,3.61,0.43,1.59,3.14,5.93,0.53,87.13,64.61,98.79,54.37,2.14,3G,Xiaomi,Yes,High,34.45,Yes,19,69,17.12
Russia,60,Artist,None,32698.48,5.37,59,1.42,1.32,2.6,1.5,1.55,6.43,1.05,96.87,11.67,2.33,93.89,0.04,3G,Huawei,No,Moderate,30.08,Yes,15,45,56.33
Japan,58,Doctor,PhD,19676.98,6.32,142,1.26,3.16,3.82,2.34,0.32,5.19,1.18,2.02,76.04,68.38,83.57,0.43,3G,Huawei,No,Moderate,32.64,No,10,63,37.9
China,65,Manager,None,31905.51,6.53,64,0.52,1.57,3.58,1.67,2.19,8.6,2.28,72.36,88.22,44.02,12.26,1.99,3G,Other,Yes,High,27.14,No,15,96,57.81
Nigeria,13,Engineer,PhD,32968.34,6.37,29,1.4,1.21,0.73,1.54,1.55,6.65,0.6,30.04,26.49,70.34,78.39,2.18,5G,Other,Yes,Low,27.26,No,10,140,67.93
India,56,Salesperson,Master's,45147.68,5.87,96,1.59,2.23,2.76,1.36,1.25,6.96,0.67,38.38,97.28,56.69,46.42,1.35,WiFi,OnePlus,No,Low,24.88,Yes,13,101,67.27
Japan,63,Unemployed,PhD,34170.21,7.7,102,3.11,1.4,2.22,1.65,0.83,6.66,1.53,91.03,89.71,17.53,36.07,0.94,4G,OnePlus,No,Moderate,28.1,Yes,11,124,78.86
Russia,29,Salesperson,None,33751.81,8.05,98,1.32,1.64,2.44,1.71,1.29,6.82,0.7,56.54,44.09,69.13,71.29,1.32,3G,Other,Yes,High,31.44,Yes,9,37,99.78
India,62,Artist,Bachelor's,43524.02,5.77,87,2.28,0.36,1.71,1.41,1.31,6.03,0.42,39.06,39.58,63.77,79.78,2.33,4G,Xiaomi,No,High,35.82,No,9,131,7.41
Nigeria,17,Unemployed,High School,12403.31,6.06,86,3.43,2.63,2.55,1.65,-0.33,6.86,0.05,39.68,59.62,47.22,62.92,1.55,4G,Apple,Yes,High,34.34,No,12,124,44.22
Russia,54,Artist,Master's,57607.7,9.26,89,2.87,1.84,2.21,1.03,3.04,6.59,0.91,84.03,54.5,52.88,61.15,1.92,3G,Apple,Yes,Low,15.03,No,20,107,20.95
Japan,24,Doctor,None,15656.53,9.21,107,1.76,0.59,2.94,0.98,2.55,5.1,1.29,30.16,15.46,81.73,98.77,0.85,5G,Other,No,Severe,25.04,Yes,8,43,74.74
Russia,22,Artist,High School,15550.13,9.09,85,1.68,2.39,2.1,1.43,0.88,7.63,0.71,7.67,43.89,36.28,34.2,2.48,WiFi,OnePlus,No,Moderate,25.43,Yes,8,104,36.87
Germany,45,Teacher,Master's,4358.89,4.62,82,3.22,1.4,0.92,1.29,1.2,6.7,0.75,54.66,21.57,54.22,60.36,0.77,5G,Other,Yes,High,28.52,No,15,70,81.59
Brazil,29,Student,Master's,34984.59,5.64,78,1.89,0.62,2.24,1.81,1.29,6.76,1.62,78.73,38.75,73.47,26.18,2.93,WiFi,Huawei,No,Moderate,15.18,No,16,24,12.36
Japan,70,Teacher,PhD,8348.51,4.47,47,3.47,1.32,0.54,1.44,1.39,7.75,1.48,46.63,94.27,10.4,20.47,1.71,3G,OnePlus,Yes,Low,21.64,Yes,17,125,73.99
UK,16,Unemployed,High School,38240.68,4.12,59,2.11,2.13,1.6,1.6,2.32,5.79,1.42,51.27,27.02,33.82,7.45,1.15,WiFi,Other,No,Low,50.1,Yes,14,173,66.33
Mexico,12,Salesperson,Master's,25210.58,5.37,71,1.16,0.87,1.68,1.97,1.82,6.93,1.12,16.15,27.56,5.89,12.39,1.86,WiFi,Samsung,Yes,Moderate,29.15,No,12,83,7.01
Mexico,64,Unemployed,High School,6151.63,3.69,101,2.29,0.16,2.01,2.57,1.01,6.77,0.73,52.77,33.95,35.26,51.08,3.61,3G,Huawei,Yes,Low,20.16,Yes,16,96,68.14
Japan,34,Doctor,None,48382.28,5.75,66,3.73,1.69,1.67,2.12,3.99,5.13,2.37,81.72,60.68,57.29,67.19,1.34,4G,Xiaomi,No,Severe,26.32,No,17,177,79.17
Nigeria,33,Manager,None,51295.45,9.96,85,3.02,3.02,2.95,1.48,-0.44,6.5,1.53,15.64,21.97,92.36,66.41,1.47,4G,Huawei,No,High,22.72,Yes,13,87,26.38
Nigeria,63,Manager,Bachelor's,29416.9,4.81,101,4.4,1.36,1.76,1.63,1.49,6.14,0.6,60.6,57.4,14.24,79.43,1.28,5G,Huawei,No,High,44.97,Yes,20,107,0.16
UK,32,Unemployed,Bachelor's,32008.2,9.66,78,2.37,0.5,3.57,0.88,0.12,6.46,1.08,95.4,16.69,42.44,34.22,1.2,3G,Xiaomi,Yes,Moderate,23.64,No,13,138,67.67
China,63,Doctor,High School,22590.55,7.1,64,3.49,2.24,1.51,0.98,2.1,6.97,1.43,5.05,6.27,81.38,76.39,1.66,4G,OnePlus,Yes,Severe,30.63,No,9,163,6.21
India,55,Unemployed,Bachelor's,19305.09,2.17,87,0.58,1.59,2.97,1.64,0.9,5.37,1.15,52.92,34.31,88.92,62.71,1.65,5G,Other,Yes,Low,17.66,Yes,15,105,83.16
UK,57,Teacher,High School,33957.73,3.47,53,1.31,2.19,2.12,1.27,1.67,5.91,1.58,34.79,45.41,11.62,47.89,0.79,WiFi,Other,Yes,Moderate,34.27,Yes,19,82,40.91
